"CVM - LATAM - Mexico - Internal Servers - Patch Report","05/01/2017 at 06:32:56 (GMT)"
"Zurich Financial Services","4750 Wilshire Blvd.","Annex 2","Los Angeles","California","United States of America","90010"
10.110.6.125,"236233","RHSA-2017:0063","4","Red Hat Update for Bind Security (RHSA-2017:0063)","1","01/16/2017",Global Default Network
10.110.6.125,"236249","RHSA-2017:0184","4","Red Hat Update for mysql Security (RHSA-2017:0184)","1","01/24/2017",Global Default Network
10.110.6.125,"236139","RHSA-2016:2141","4","Red Hat Update for bind (RHSA-2016:2141)","1","11/02/2016",Global Default Network
10.110.6.125,"236126","RHSA-2016:2105","4","Red Hat Update for kernel (RHSA-2016:2105) (Dirty Cow)","1","10/25/2016",Global Default Network
10.110.6.125,"236040","RHSA-2016:1406","4","Red Hat Update for kernel (RHSA-2016:1406)","1","07/12/2016",Global Default Network
10.110.6.125,"236056","RHSA-2016:1504","4","Red Hat Update for java-1.7.0-openjdk (RHSA-2016:1504)","1","07/27/2016",Global Default Network
10.110.6.125,"236058","RHSA-2016:1547","4","Red Hat Update for libtiff (RHSA-2016:1547)","1","08/02/2016",Global Default Network
10.110.6.125,"236029","RHSA-2016:1292","4","Red Hat Update for libxml2 (RHSA-2016:1292)","1","06/23/2016",Global Default Network
10.110.6.125,"236025","RHSA-2016:1217","5","Red Hat Update for firefox (RHSA-2016:1217)","1","06/08/2016",Global Default Network
10.110.6.125,"124624","RHSA-2016:0723","5","Red Hat Update for java-1.6.0-openjdk security  (RHSA-2016:0723)","1","05/09/2016",Global Default Network
10.110.6.125,"123959","RHSA-2016:0996","4","Red Hat Update for openssl security  (RHSA-2016:0996)","1","05/10/2016",Global Default Network
10.110.6.125,"236063","RHSA-2016:1551","5","Red Hat Update for firefox (RHSA-2016:1551)","1","08/03/2016",Global Default Network
10.110.6.125,"236080","RHSA-2016:1664","4","Red Hat Update for kernel (RHSA-2016:1664)","1","08/23/2016",Global Default Network
10.110.6.125,"236108","RHSA-2016:2006","4","Red Hat Update for kernel (RHSA-2016:2006)","1","10/04/2016",Global Default Network
10.110.6.125,"236122","RHSA-2016:2093","4","Red Hat Update for bind (RHSA-2016:2093)","1","10/20/2016",Global Default Network
10.110.6.125,"236098","RHSA-2016:1944","4","Red Hat Update for bind (RHSA-2016:1944)","1","09/28/2016",Global Default Network
10.110.6.125,"236095","RHSA-2016:1940","4","Red Hat Update for openssl security (RHSA-2016:1940)","1","09/27/2016",Global Default Network
10.110.6.125,"236082","RHSA-2016:1776","4","Red Hat Update for java-1.6.0-openjdk (RHSA-2016:1776 )","1","08/26/2016",Global Default Network
10.110.6.125,"236094","RHSA-2016:1912","5","Red Hat Update for firefox (RHSA-2016:1912)","1","09/21/2016",Global Default Network
10.110.6.125,"124953","RHSA-2016:0675","5","Red Hat Update for java-1.7.0-openjdk security (RHSA-2016:0675)","1","04/21/2016",Global Default Network
10.110.6.163,"236202","RHSA-2016:2843","5","Red Hat Update for Firefox Security (RHSA-2016:2843)","1","12/01/2016",Global Default Network
10.110.6.163,"236206","RHSA-2016:2872","4","Red Hat Update for Sudo Security (RHSA-2016:2872)","1","12/06/2016",Global Default Network
10.110.6.163,"236208","RHSA-2016:2946","5","Red Hat Update Firefox Security  (RHSA-2016:2946)","1","12/14/2016",Global Default Network
10.110.6.163,"236194","RHSA-2016:2780","5","Red Hat Update for firefox (RHSA-2016:2780)","1","11/16/2016",Global Default Network
10.110.6.163,"236192","RHSA-2016:2766","4","Red Hat Update for kernel (RHSA-2016:2766)","1","11/15/2016",Global Default Network
10.110.6.163,"236181","RHSA-2016:2658","4","Red Hat Update for java-1.7.0-openjdk (RHSA-2016:2658)","1","11/07/2016",Global Default Network
10.110.6.163,"236189","RHSA-2016:2702","4","Red Hat Update for policycoreutils (RHSA-2016:2702)","1","11/14/2016",Global Default Network
10.110.6.163,"236229","RHSA-2017:0036","4","Red Hat Update for Kernel Security (RHSA-2017:0036)","1","01/10/2017",Global Default Network
10.110.6.163,"236231","RHSA-2017:0061","4","Red Hat Update for  Java-1.6.0-Openjdk Security (RHSA-2017:0061)","1","01/12/2017",Global Default Network
10.110.6.163,"236267","RHSA-2017:0293","4","Red Hat Update for Kernel Security (RHSA-2017:0293)","1","02/22/2017",Global Default Network
10.110.6.163,"236285","RHSA-2017:0459","5","Red Hat Update for firefox Security (RHSA-2017:0459)","1","03/08/2017",Global Default Network
10.110.6.163,"236315","RHSA-2017:0892","4","Red Hat Update for Kernel Security (RHSA-2017:0892)","1","04/11/2017",Global Default Network
10.110.6.163,"236261","RHSA-2017:0269","5","Red Hat Update for java-1.7.0-openjdk Security (RHSA-2017:0269)","1","02/13/2017",Global Default Network
10.110.6.163,"236250","RHSA-2017:0190","5","Red Hat Update for Firefox Security (RHSA-2017:0190)","1","01/25/2017",Global Default Network
10.110.6.163,"236233","RHSA-2017:0063","4","Red Hat Update for Bind Security (RHSA-2017:0063)","1","01/16/2017",Global Default Network
10.110.6.163,"236249","RHSA-2017:0184","4","Red Hat Update for mysql Security (RHSA-2017:0184)","1","01/24/2017",Global Default Network
10.110.6.163,"236139","RHSA-2016:2141","4","Red Hat Update for bind (RHSA-2016:2141)","1","11/02/2016",Global Default Network
10.110.6.163,"236126","RHSA-2016:2105","4","Red Hat Update for kernel (RHSA-2016:2105) (Dirty Cow)","1","10/25/2016",Global Default Network
10.110.6.163,"236040","RHSA-2016:1406","4","Red Hat Update for kernel (RHSA-2016:1406)","1","07/12/2016",Global Default Network
10.110.6.163,"236056","RHSA-2016:1504","4","Red Hat Update for java-1.7.0-openjdk (RHSA-2016:1504)","1","07/27/2016",Global Default Network
10.110.6.163,"236058","RHSA-2016:1547","4","Red Hat Update for libtiff (RHSA-2016:1547)","1","08/02/2016",Global Default Network
10.110.6.163,"236029","RHSA-2016:1292","4","Red Hat Update for libxml2 (RHSA-2016:1292)","1","06/23/2016",Global Default Network
10.110.6.163,"236025","RHSA-2016:1217","5","Red Hat Update for firefox (RHSA-2016:1217)","1","06/08/2016",Global Default Network
10.110.6.163,"124624","RHSA-2016:0723","5","Red Hat Update for java-1.6.0-openjdk security  (RHSA-2016:0723)","1","05/09/2016",Global Default Network
10.110.6.163,"123959","RHSA-2016:0996","4","Red Hat Update for openssl security  (RHSA-2016:0996)","1","05/10/2016",Global Default Network
10.110.6.163,"236063","RHSA-2016:1551","5","Red Hat Update for firefox (RHSA-2016:1551)","1","08/03/2016",Global Default Network
10.110.6.163,"236080","RHSA-2016:1664","4","Red Hat Update for kernel (RHSA-2016:1664)","1","08/23/2016",Global Default Network
10.110.6.163,"236108","RHSA-2016:2006","4","Red Hat Update for kernel (RHSA-2016:2006)","1","10/04/2016",Global Default Network
10.110.6.163,"236122","RHSA-2016:2093","4","Red Hat Update for bind (RHSA-2016:2093)","1","10/20/2016",Global Default Network
10.110.6.163,"236098","RHSA-2016:1944","4","Red Hat Update for bind (RHSA-2016:1944)","1","09/28/2016",Global Default Network
10.110.6.163,"236095","RHSA-2016:1940","4","Red Hat Update for openssl security (RHSA-2016:1940)","1","09/27/2016",Global Default Network
10.110.6.163,"236082","RHSA-2016:1776","4","Red Hat Update for java-1.6.0-openjdk (RHSA-2016:1776 )","1","08/26/2016",Global Default Network
10.110.6.163,"236094","RHSA-2016:1912","5","Red Hat Update for firefox (RHSA-2016:1912)","1","09/21/2016",Global Default Network
10.110.6.163,"124953","RHSA-2016:0675","5","Red Hat Update for java-1.7.0-openjdk security (RHSA-2016:0675)","1","04/21/2016",Global Default Network
10.110.7.163,"236202","RHSA-2016:2843","5","Red Hat Update for Firefox Security (RHSA-2016:2843)","1","12/01/2016",Global Default Network
10.110.7.163,"236206","RHSA-2016:2872","4","Red Hat Update for Sudo Security (RHSA-2016:2872)","1","12/06/2016",Global Default Network
10.110.7.163,"236208","RHSA-2016:2946","5","Red Hat Update Firefox Security  (RHSA-2016:2946)","1","12/14/2016",Global Default Network
10.110.7.163,"236194","RHSA-2016:2780","5","Red Hat Update for firefox (RHSA-2016:2780)","1","11/16/2016",Global Default Network
10.110.7.163,"236192","RHSA-2016:2766","4","Red Hat Update for kernel (RHSA-2016:2766)","1","11/15/2016",Global Default Network
10.110.7.163,"236181","RHSA-2016:2658","4","Red Hat Update for java-1.7.0-openjdk (RHSA-2016:2658)","1","11/07/2016",Global Default Network
10.110.7.163,"236189","RHSA-2016:2702","4","Red Hat Update for policycoreutils (RHSA-2016:2702)","1","11/14/2016",Global Default Network
10.110.7.163,"236229","RHSA-2017:0036","4","Red Hat Update for Kernel Security (RHSA-2017:0036)","1","01/10/2017",Global Default Network
10.110.7.163,"236231","RHSA-2017:0061","4","Red Hat Update for  Java-1.6.0-Openjdk Security (RHSA-2017:0061)","1","01/12/2017",Global Default Network
10.110.7.163,"236267","RHSA-2017:0293","4","Red Hat Update for Kernel Security (RHSA-2017:0293)","1","02/22/2017",Global Default Network
10.110.7.163,"236285","RHSA-2017:0459","5","Red Hat Update for firefox Security (RHSA-2017:0459)","1","03/08/2017",Global Default Network
10.110.7.163,"236315","RHSA-2017:0892","4","Red Hat Update for Kernel Security (RHSA-2017:0892)","1","04/11/2017",Global Default Network
10.110.7.163,"236261","RHSA-2017:0269","5","Red Hat Update for java-1.7.0-openjdk Security (RHSA-2017:0269)","1","02/13/2017",Global Default Network
10.110.7.163,"236250","RHSA-2017:0190","5","Red Hat Update for Firefox Security (RHSA-2017:0190)","1","01/25/2017",Global Default Network
10.110.7.163,"236233","RHSA-2017:0063","4","Red Hat Update for Bind Security (RHSA-2017:0063)","1","01/16/2017",Global Default Network
10.110.7.163,"236249","RHSA-2017:0184","4","Red Hat Update for mysql Security (RHSA-2017:0184)","1","01/24/2017",Global Default Network
10.110.7.163,"236139","RHSA-2016:2141","4","Red Hat Update for bind (RHSA-2016:2141)","1","11/02/2016",Global Default Network
10.110.7.163,"236126","RHSA-2016:2105","4","Red Hat Update for kernel (RHSA-2016:2105) (Dirty Cow)","1","10/25/2016",Global Default Network
10.110.7.163,"236040","RHSA-2016:1406","4","Red Hat Update for kernel (RHSA-2016:1406)","1","07/12/2016",Global Default Network
10.110.7.163,"236056","RHSA-2016:1504","4","Red Hat Update for java-1.7.0-openjdk (RHSA-2016:1504)","1","07/27/2016",Global Default Network
10.110.7.163,"236058","RHSA-2016:1547","4","Red Hat Update for libtiff (RHSA-2016:1547)","1","08/02/2016",Global Default Network
10.110.7.163,"236029","RHSA-2016:1292","4","Red Hat Update for libxml2 (RHSA-2016:1292)","1","06/23/2016",Global Default Network
10.110.7.163,"236025","RHSA-2016:1217","5","Red Hat Update for firefox (RHSA-2016:1217)","1","06/08/2016",Global Default Network
10.110.7.163,"124624","RHSA-2016:0723","5","Red Hat Update for java-1.6.0-openjdk security  (RHSA-2016:0723)","1","05/09/2016",Global Default Network
10.110.7.163,"123959","RHSA-2016:0996","4","Red Hat Update for openssl security  (RHSA-2016:0996)","1","05/10/2016",Global Default Network
10.110.7.163,"236063","RHSA-2016:1551","5","Red Hat Update for firefox (RHSA-2016:1551)","1","08/03/2016",Global Default Network
10.110.7.163,"236080","RHSA-2016:1664","4","Red Hat Update for kernel (RHSA-2016:1664)","1","08/23/2016",Global Default Network
10.110.7.163,"236108","RHSA-2016:2006","4","Red Hat Update for kernel (RHSA-2016:2006)","1","10/04/2016",Global Default Network
10.110.7.163,"236122","RHSA-2016:2093","4","Red Hat Update for bind (RHSA-2016:2093)","1","10/20/2016",Global Default Network
10.110.7.163,"236098","RHSA-2016:1944","4","Red Hat Update for bind (RHSA-2016:1944)","1","09/28/2016",Global Default Network
10.110.7.163,"236095","RHSA-2016:1940","4","Red Hat Update for openssl security (RHSA-2016:1940)","1","09/27/2016",Global Default Network
10.110.7.163,"236082","RHSA-2016:1776","4","Red Hat Update for java-1.6.0-openjdk (RHSA-2016:1776 )","1","08/26/2016",Global Default Network
10.110.7.163,"236094","RHSA-2016:1912","5","Red Hat Update for firefox (RHSA-2016:1912)","1","09/21/2016",Global Default Network
10.110.7.163,"124953","RHSA-2016:0675","5","Red Hat Update for java-1.7.0-openjdk security (RHSA-2016:0675)","1","04/21/2016",Global Default Network
10.110.10.104,"236189","RHSA-2016:2702","4","Red Hat Update for policycoreutils (RHSA-2016:2702)","1","11/14/2016",Global Default Network
10.110.10.104,"236192","RHSA-2016:2766","4","Red Hat Update for kernel (RHSA-2016:2766)","1","11/15/2016",Global Default Network
10.110.10.104,"236195","RHSA-2016:2802","4","Red Hat Update for openssl (RHSA-2016:2802)","1","11/17/2016",Global Default Network
10.110.10.104,"236181","RHSA-2016:2658","4","Red Hat Update for java-1.7.0-openjdk (RHSA-2016:2658)","1","11/07/2016",Global Default Network
10.110.10.104,"236139","RHSA-2016:2141","4","Red Hat Update for bind (RHSA-2016:2141)","1","11/02/2016",Global Default Network
10.110.10.104,"236122","RHSA-2016:2093","4","Red Hat Update for bind (RHSA-2016:2093)","1","10/20/2016",Global Default Network
10.110.10.104,"236126","RHSA-2016:2105","4","Red Hat Update for kernel (RHSA-2016:2105) (Dirty Cow)","1","10/25/2016",Global Default Network
10.110.10.104,"236206","RHSA-2016:2872","4","Red Hat Update for Sudo Security (RHSA-2016:2872)","1","12/06/2016",Global Default Network
10.110.10.104,"236229","RHSA-2017:0036","4","Red Hat Update for Kernel Security (RHSA-2017:0036)","1","01/10/2017",Global Default Network
10.110.10.104,"236267","RHSA-2017:0293","4","Red Hat Update for Kernel Security (RHSA-2017:0293)","1","02/22/2017",Global Default Network
10.110.10.104,"236315","RHSA-2017:0892","4","Red Hat Update for Kernel Security (RHSA-2017:0892)","1","04/11/2017",Global Default Network
10.110.10.104,"236261","RHSA-2017:0269","5","Red Hat Update for java-1.7.0-openjdk Security (RHSA-2017:0269)","1","02/13/2017",Global Default Network
10.110.10.104,"236249","RHSA-2017:0184","4","Red Hat Update for mysql Security (RHSA-2017:0184)","1","01/24/2017",Global Default Network
10.110.10.104,"236231","RHSA-2017:0061","4","Red Hat Update for  Java-1.6.0-Openjdk Security (RHSA-2017:0061)","1","01/12/2017",Global Default Network
10.110.10.104,"236233","RHSA-2017:0063","4","Red Hat Update for Bind Security (RHSA-2017:0063)","1","01/16/2017",Global Default Network
10.110.10.104,"236108","RHSA-2016:2006","4","Red Hat Update for kernel (RHSA-2016:2006)","1","10/04/2016",Global Default Network
10.110.10.104,"236098","RHSA-2016:1944","4","Red Hat Update for bind (RHSA-2016:1944)","1","09/28/2016",Global Default Network
10.110.10.104,"124891","RHSA-2016:0612","5","Red Hat Update for samba and samba4 (RHSA-2016:0612) (BADLOCK)","1","04/12/2016",Global Default Network
10.110.10.104,"124953","RHSA-2016:0675","5","Red Hat Update for java-1.7.0-openjdk security (RHSA-2016:0675)","1","04/21/2016",Global Default Network
10.110.10.104,"124624","RHSA-2016:0723","5","Red Hat Update for java-1.6.0-openjdk security  (RHSA-2016:0723)","1","05/09/2016",Global Default Network
10.110.10.104,"124174","RHSA-2015:1920","5","Red Hat Update for java-1.7.0-openjdk (RHSA-2015:1920)","1","10/21/2015",Global Default Network
10.110.10.104,"123787","RHSA-2015:1526","4","Red Hat Update for java-1.6.0-openjdk (RHSA-2015:1526)","1","07/30/2015",Global Default Network
10.110.10.104,"123660","RHSA-2015:1185","3","Red Hat Update for nss (RHSA-2015:1185)","1","06/25/2015",Global Default Network
10.110.10.104,"123726","RHSA-2015:1229","5","Red Hat Update for java-1.7.0-openjdk (RHSA-2015:1229)","1","07/15/2015",Global Default Network
10.110.10.104,"123959","RHSA-2016:0996","4","Red Hat Update for openssl security  (RHSA-2016:0996)","1","05/10/2016",Global Default Network
10.110.10.104,"236029","RHSA-2016:1292","4","Red Hat Update for libxml2 (RHSA-2016:1292)","1","06/23/2016",Global Default Network
10.110.10.104,"236082","RHSA-2016:1776","4","Red Hat Update for java-1.6.0-openjdk (RHSA-2016:1776 )","1","08/26/2016",Global Default Network
10.110.10.104,"236095","RHSA-2016:1940","4","Red Hat Update for openssl security (RHSA-2016:1940)","1","09/27/2016",Global Default Network
10.110.10.104,"236080","RHSA-2016:1664","4","Red Hat Update for kernel (RHSA-2016:1664)","1","08/23/2016",Global Default Network
10.110.10.104,"236058","RHSA-2016:1547","4","Red Hat Update for libtiff (RHSA-2016:1547)","1","08/02/2016",Global Default Network
10.110.10.104,"236040","RHSA-2016:1406","4","Red Hat Update for kernel (RHSA-2016:1406)","1","07/12/2016",Global Default Network
10.110.10.104,"236056","RHSA-2016:1504","4","Red Hat Update for java-1.7.0-openjdk (RHSA-2016:1504)","1","07/27/2016",Global Default Network
10.110.10.104,"115226","RHSA-2015:1072","3","Red Hat Update for openssl (RHSA-2015:1072)","1","06/04/2015",Global Default Network
10.110.8.166,"236189","RHSA-2016:2702","4","Red Hat Update for policycoreutils (RHSA-2016:2702)","1","11/14/2016",Global Default Network
10.110.8.166,"236192","RHSA-2016:2766","4","Red Hat Update for kernel (RHSA-2016:2766)","1","11/15/2016",Global Default Network
10.110.8.166,"236195","RHSA-2016:2802","4","Red Hat Update for openssl (RHSA-2016:2802)","1","11/17/2016",Global Default Network
10.110.8.166,"236181","RHSA-2016:2658","4","Red Hat Update for java-1.7.0-openjdk (RHSA-2016:2658)","1","11/07/2016",Global Default Network
10.110.8.166,"236139","RHSA-2016:2141","4","Red Hat Update for bind (RHSA-2016:2141)","1","11/02/2016",Global Default Network
10.110.8.166,"236122","RHSA-2016:2093","4","Red Hat Update for bind (RHSA-2016:2093)","1","10/20/2016",Global Default Network
10.110.8.166,"236126","RHSA-2016:2105","4","Red Hat Update for kernel (RHSA-2016:2105) (Dirty Cow)","1","10/25/2016",Global Default Network
10.110.8.166,"236206","RHSA-2016:2872","4","Red Hat Update for Sudo Security (RHSA-2016:2872)","1","12/06/2016",Global Default Network
